trade_date,market,section,item,column,value,unit,fetched_at
2026-08-10,東証,売買高・売買代金・騰落銘柄数,上場銘柄数,グロース,,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,上場銘柄数,スタンダード,1560.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,上場銘柄数,プライム,1556.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値上がり銘柄数,グロース,,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値上がり銘柄数,スタンダード,878.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値上がり銘柄数,プライム,916.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値下がり銘柄数,グロース,,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値下がり銘柄数,スタンダード,524.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値下がり銘柄数,プライム,603.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値付き率,グロース,,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値付き率,スタンダード,98.91,%,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,値付き率,プライム,100.0,%,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,商い成立銘柄数,グロース,,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,商い成立銘柄数,スタンダード,1543.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,商い成立銘柄数,プライム,1556.0,,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買代金,グロース,109000.0,百万円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買代金,スタンダード,206057.0,百万円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買代金,プライム,9190461.0,百万円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買単価,グロース,297.1,円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買単価,スタンダード,482.9,円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買単価,プライム,3606.2,円,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買高,グロース,36676.0,万株,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買高,スタンダード,42665.0,万株,2026-08-11T18:58:39+09:00
2026-08-10,東証,売買高・売買代金・騰落銘柄数,売買高,プライム,254848.0,万株,2026-08-11T18:58:39+09:00
