trade_date,name,open_time,high_time,low_time,fetched_at
2026-08-10,日経VI,09:00,13:50,15:46,2026-08-11T19:00:35+09:00
2026-08-10,日経半導体株指数,09:00,14:13,09:00,2026-08-11T19:00:35+09:00
2026-08-10,日経平均,09:00,10:53,09:05,2026-08-11T19:00:35+09:00
2026-08-12,日経VI,09:00,15:27,11:52,2026-08-12T19:05:19+09:00
2026-08-12,日経半導体株指数,09:00,12:34,09:02,2026-08-12T19:05:19+09:00
2026-08-12,日経平均,09:00,14:33,09:01,2026-08-12T19:05:19+09:00
2026-08-13,日経VI,09:00,09:34,09:12,2026-08-13T19:06:40+09:00
2026-08-13,日経半導体株指数,09:00,11:30,09:00,2026-08-13T19:06:40+09:00
2026-08-13,日経平均,09:00,09:21,09:00,2026-08-13T19:06:40+09:00
2026-08-14,日経VI,09:00,09:29,09:00,2026-08-14T19:01:52+09:00
2026-08-14,日経半導体株指数,09:00,09:10,09:00,2026-08-14T19:01:52+09:00
2026-08-14,日経平均,09:00,09:39,14:09,2026-08-14T19:01:52+09:00
2026-08-24,日経VI,09:00,09:35,15:46,2026-08-24T18:47:25+09:00
2026-08-24,日経半導体株指数,09:00,10:22,12:54,2026-08-24T18:47:25+09:00
2026-08-24,日経平均,09:00,09:10,15:06,2026-08-24T18:47:25+09:00
2026-08-26,日経VI,09:00,09:02,11:38,2026-08-26T18:41:25+09:00
2026-08-26,日経半導体株指数,09:00,12:53,10:00,2026-08-26T18:41:25+09:00
2026-08-26,日経平均,09:00,13:33,10:00,2026-08-26T18:41:25+09:00
2026-08-27,日経VI,09:00,10:01,15:46,2026-08-28T04:27:45+09:00
2026-08-27,日経半導体株指数,09:00,09:07,10:13,2026-08-28T04:27:45+09:00
2026-08-27,日経平均,09:00,09:06,10:13,2026-08-28T04:27:45+09:00
